DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
GH201400000011,GHGE71FL,GH,2014,11,GH2014DHS,5026.418945,5714.08252,6440.674805,14.08296813,15.99958842,18.18848957,20.50130464,6738.678378,0.000438191,0.000465691,0.002111752,5.5,3136.1,3202.2,3272,3358.1,3662.3,3726.1,3751.9,25.04076087,10.0,0.143346713,0.20979846,0.681169973,0.575491496,0.542881216,0.522253445,0.318485022,0.00684088,1707.264865,7574.424521,8858.882432,104950.8998,1270.833333,1045.083333,1140.5,1025.333333,970.4166667,1339.333333,812.25,0.16249892776076857,0,0,0,28.1902504,24.47650146,26.38150024,29.03499985,27.55400085,24.76324844,25.80175018,29.15950012,27.39699936,26.64125061,25.78150177,24.8817482,373.7081081,13442.03711,14616.60742,15796.52539,16815.73828,42.78733303,46.52610644,50.28190199,53.52615738
GH201400000012,GHGE71FL,GH,2014,12,GH2014DHS,12035.8457,13683.5498,15423.50195,842.9477591,957.7821687,1088.902295,1227.363288,7453.0625,0.078742122,0.109871467,0.143085718,-9999,4004,4066,4035,4360,4917,4850,4902,40.375,11,0.11228746,0.173883177,0.603347716,0.548919618,0.502013743,0.472508699,0.343698472,0.571684739,1628.5,78996.87807,75811.69736,118666.0729,1448,1113,1274,1074,1079,1406,913,0.5933696627616882,0,2,1,26.94400024,23.93499947,25.88899994,27.41799927,26.06400108,24.20499992,25.18199921,27.57999992,26.61100006,25.97100067,25.31599998,24.54700089,30.9375,1196.984253,1352.803223,1519.32019,1680.232788,95.25298033,107.65266,120.9036592,133.7086769
GH201400000013,GHGE71FL,GH,2014,13,GH2014DHS,5426.853027,6169.788574,6954.317383,380.0775077,431.8552423,490.9761747,553.4069937,7200.4375,0.03532391,0.049761772,0.056136739,-9999,4241,4268,4293,4495,4916,5030,4984,27.5625,11.0,0.117974487,0.184053157,0.632975968,0.611077607,0.555788636,0.423091024,0.364264101,0.104827319,1655.6875,18747.42876,73302.04148,154178.3949,1319,1039,1310,1036,1120,1388,879,0.6266816258430481,0,0,0,27.23399925,24.05700111,26.04800034,27.6590004,26.34599876,24.3920002,25.38500023,27.85899925,26.76199913,26.20499992,25.52799988,24.76199913,108.6875,927.8546753,1096.831543,1288.431396,1490.349243,73.83632902,87.2830809,102.5301128,118.5982245
GH201400000014,GHGE71FL,GH,2014,14,GH2014DHS,4064.715576,4621.174316,5208.786621,284.6782241,323.4597881,367.7413676,414.5020691,5968.266667,0.006619998,0.009164885,0.013049786,4,2342,2360,2462,2710,2844,2973,2927,25.2,9,0.121931518,0.177508142,0.603981474,0.613824069,0.549696207,0.670597911,0.426309198,0.437896308,1800.866667,28989.33224,22040.65877,121584.7407,1121,1032,1151,939,954,1263,867,0.0007299862181146939,0,0,0,29.57800102,24.95700073,26.42899895,29.36100006,27.24500084,25.31200027,26.54199982,30.36100006,28.21299934,27.19400024,26.61000061,25.50099945,127.4,194.574585,218.9325867,244.7886963,269.5137329,15.4837535,17.42210169,19.47966551,21.44722141
GH201400000015,GHGE71FL,GH,2014,15,GH2014DHS,29467.00195,33501.02734,37760.90625,82.55056049,93.79638037,106.637082,120.1966977,7571.452316,0.004008054,0.006425107,0.009406192,-9999,4484.3,4469.4,4571.8,4661.5,4954.2,5130.5,5204.8,25.48087432,12.0,0.112564261,0.184513905,0.626968954,0.625686305,0.580617428,0.521576439,0.45611889,0.014503683,1658.512262,31036.06388,44608.95444,122876.3294,1354.4,1151.7,1330.9,1129.3,1175,1499.1,1015.3,0.19535027277891903,0,0,1,27.4734993,24.30900002,26.26799965,27.74399948,26.36399841,24.77600098,25.75300026,27.88800049,26.99850082,26.55500031,25.9279995,25.18799973,192.5013624,19684.07422,22372.79688,25280.69531,28143.16406,62.65635425,71.21482428,80.47095247,89.58247349
GH201400000016,GHGE71FL,GH,2014,16,GH2014DHS,45705.39453,51962.45313,58569.82031,128.0417184,145.4847893,165.4016254,186.4335284,10478.10929,0.009506866,0.012263066,0.025462556,-9999,4102.4,4133,4222.9,4188,4497.9,4527.7,4557.7,30.09016393,11.0,0.155312478,0.212972916,0.677778652,0.523754152,0.360057894,0.413944594,0.312685966,0.076199985,1554.169399,61230.23936,82238.65553,82694.28411,1644.666667,1283.5,1687.333333,1349.5,1522.666667,1716,1179.333333,1.7085384514813866,0,0,0,26.3093338,23.57400004,25.45866648,26.35766602,25.40266673,23.81700134,24.66699982,26.36399841,25.88999939,25.554334,25.11966705,24.41299947,161.0765027,58572.60547,65658.03906,73157.0625,80284.57813,186.4423938,208.9960294,232.8661624,255.5537493
GH201400000017,GHGE71FL,GH,2014,17,GH2014DHS,1751.134766,1990.864746,2244.016113,122.6432507,139.350877,158.4279827,178.5731284,6699.928571,0.099833846,0.134333313,0.302883307,7,3640,3717,3754,3702,3887,3963,4024,43.57142857,11,0.136297191,0.202129294,0.654467857,0.553028464,0.50241071,0.392973095,0.239912361,0.811455825,1697.428571,4311.305151,29541.08573,131358.9395,1374,1061,1222,1048,1033,1410,833,0.03163829445838928,0,2,2,27.71800041,24.10200119,25.83799934,28.24600029,26.68799973,24.41499901,25.50399971,28.5909996,27.01199913,26.23200035,25.51099968,24.62800026,114.8571429,1076.809326,1170.219482,1263.756958,1343.891846,85.6897635,93.12310753,100.5665834,106.9435151
GH201400000018,GHGE71FL,GH,2014,18,GH2014DHS,53957.66406,61344.46094,69144.80469,151.1601178,171.7525791,195.2654838,220.0947491,8532.916667,0.011534676,0.015433894,0.016492543,-9999,4407.3,4349.7,4431.7,4391.7,4580.3,4696.7,4686.7,27.08064516,11.0,0.225296484,0.289855613,0.811314163,0.509927886,0.25179284,0.377682141,0.26281568,0.286454892,1756.083333,14421.67983,36964.44779,19555.44649,1752.454545,1412.272727,1734.181818,1346.636364,1339.909091,1677.818182,1229.545455,1.2573978875273017,0,0,0,27.7377491,24.67549896,26.51450157,27.96725082,26.74024963,24.98424911,26.06225014,28.12000084,27.13525009,26.8484993,26.17374802,25.5095005,220.0510753,38859.98438,50770.53906,65915.17188,84268.73438,123.6951721,161.6076451,209.8145086,268.2357125
GH201400000019,GHGE71FL,GH,2014,19,GH2014DHS,41023.73047,46639.87109,52570.4375,114.9262569,130.5825898,148.4593206,167.3368998,9306.598916,0.016745128,0.026078354,0.040849112,-9999,4466.2,4580.6,4678.2,4537.7,4725.8,4855.8,4863.7,34.7398374,12.0,0.118315835,0.182740791,0.640984159,0.476235002,0.381695777,0.530696392,0.35883683,0.125135677,1664.189702,144990.8423,42868.68913,31684.87166,1658.6,1297.9,1520.3,1285.2,1300.9,1523.4,1059.4,0.7919728348894817,0,0,0,27.02124977,24.09825134,26.07775116,27.15724945,25.91175079,24.58374977,25.53224945,27.35375023,26.63274956,26.32050133,25.55699921,24.89525032,88.66666667,26275.41016,28786.82227,31343.01758,33607.81641,83.63722817,91.6313012,99.76792359,106.9770022
GH201400000020,GHGE71FL,GH,2014,20,GH2014DHS,50749.82031,57697.46094,65034.0625,142.1734588,161.5416953,183.6567222,207.0098503,4826.246684,6.27E-05,0.000150753,0.000914988,5,1751.583333,1805.333333,1922.083333,2089.5,2189.166667,2300.916667,2294.25,36.58355438,7.0,0.051800719,0.148502315,0.597361973,0.527989864,0.584032059,0.625696754,0.26899058,0.043499064,1946.464191,16318.90044,45559.52403,225598.708,874.4,782.8,955.3,891.7,932.6,1042.1,1009.1,0.19466944525033156,0,0,0,31.53375053,25.79774857,26.91550064,29.17875099,27.11500168,26.30274963,27.66024971,31.38475037,29.99424934,28.23500061,27.85500145,26.24925041,82.74535809,56697.6875,60166.58984,63446.62109,65881.9375,180.4743446,191.5162036,201.9568674,209.7087203
GH201400000021,GHGE71FL,GH,2014,21,GH2014DHS,28495.92188,32397.00391,36516.5,79.83011757,90.7053365,103.1228663,116.2356296,6571.522546,0.001224236,0.002174876,0.003244699,4,2880.6,2732.1,2914.2,3048.5,3269.7,3177.6,3274,28.4933687,10.0,0.137287861,0.219122857,0.7229106,0.6399285,0.571172969,0.620899073,0.38513298,0.054735289,1837.018568,104464.6264,92897.231,16485.73205,1377.6,1042.1,1213.8,1261.7,1043,1385,961.2,0.14776222775406167,0,0,0,29.45733388,25.56233215,27.11066691,29.57999929,27.77466583,25.8093338,26.71299998,30.04199982,28.26366679,27.76366679,26.9986674,26.2453359,215.0503979,4344.130371,5131.985352,6024.592773,6964.25293,13.82779644,16.33561673,19.1768744,22.16790558
GH201400000022,GHGE71FL,GH,2014,22,GH2014DHS,27929.22461,31815.04297,35941.76172,78.13356318,88.90148307,101.2704271,114.4061808,4954.365333,0.00028607,0.000475211,0.000723035,1,1994.666667,2030.583333,2152.333333,2294.166667,2348.583333,2319.166667,2306.833333,32.55466667,8.0,0.131292791,0.275618358,0.688414838,0.555368219,0.503825494,0.621730804,0.365055016,0.015638756,1912.970667,4476.977278,41434.07386,239347.6451,956.5,898.3,977.5,946.8,857.5,1030.8,959,0.72921240234375,0,0,0,30.89175034,25.67975235,26.40800095,29.09300232,26.69725037,26.14225006,27.56200027,30.96249962,29.37800026,27.95574951,27.64725113,26.15299988,211.1546667,20056.20703,22162.99609,24433.69922,26618.00586,63.84088977,70.54700763,77.77488018,84.72774416
GH201400000023,GHGE71FL,GH,2014,23,GH2014DHS,37368.82813,42484.60938,47886.80078,2617.179632,2973.716857,3380.817794,3810.710526,7173,0.271668251,0.458822104,0.577878879,-9999,3697,3662,3512,3962,4218,4070,4015,43.28571429,11,0.102841901,0.161373567,0.580602552,0.538731813,0.471625179,0.32717827,0.256089091,2.499180681,1640.785714,39844.69795,67293.95438,162082.4348,1391,1024,1249,1069,1114,1434,868,0.06364279985427856,2,3,3,27.09500122,23.97599983,26.02300072,27.77599907,26.37599945,24.28499985,25.29199982,28.00900078,26.77499962,26.13300133,25.32900047,24.6060009,43.85714286,1276.126465,1502.456055,1757.797119,2025.087646,101.5509175,119.561654,139.8810502,161.1513545
GH201400000024,GHGE71FL,GH,2014,24,GH2014DHS,10728.58398,12197.3252,13748.29492,30.0556774,34.15014346,38.82529196,43.76218191,5311.381333,4.15E-06,4.15E-06,4.61E-06,5,2279.727273,2278.909091,2355.090909,2434.090909,2515,2572.545455,2575.727273,30.96533333,8.0,0.147512549,0.216989685,0.656001284,0.578930259,0.509073138,0.600119948,0.384286225,0.005274914,1901.949333,52478.17701,46303.06767,157938.7993,1041,758.1,953,905.1,814.4,1039.1,916.2,0.042771814982096354,0,0,0,31.89225006,25.92599869,27.15550041,30.12749863,27.46024895,26.54375076,27.9204998,32.12599945,30.13225174,28.41799927,27.94924927,26.43549919,184.5573333,10909.63867,12146.82422,13443.61035,14656.31738,34.72645843,38.66454235,42.7923408,46.65250717
GH201400000025,GHGE71FL,GH,2014,25,GH2014DHS,3190.263672,3627.010254,4088.208008,223.4347337,253.8731166,288.6283053,325.3292564,7990.357143,0.03881669,0.040961852,0.070250667,-9999,3792,3815,3934,4302,4765,4992,5060,31.57142857,11,0.061654025,0.121706309,0.558974262,0.525781631,0.345896959,0.467208833,0.363616943,0.583105278,1511.642857,26904.62213,72512.03226,99542.40237,1209,1015,1431,1035,1162,1370,1016,0.027219480701855252,1,1,2,27.76300049,24.74900055,27.0340004,27.65999985,26.80800056,25.125,26.09799957,27.86299896,27.31599998,27.03300095,26.40499878,25.71100044,31.28571429,2709.770508,3055.510742,3424.35498,3779.763916,215.6366855,243.1498191,272.501511,300.7840555
GH201400000026,GHGE71FL,GH,2014,26,GH2014DHS,55569.77734,63177.26953,71210.67188,155.676388,176.884095,201.0994947,226.6706086,9217.468835,0.002580608,0.003380085,0.005059407,-9999,4702.3,4758.6,4830.4,4569.6,4804.4,5031,5031.4,26.01626016,11.0,0.146281325,0.199291373,0.66811962,0.544130802,0.359921396,0.398860723,0.314656407,0.017790886,1577.766938,48312.25594,96201.5208,71431.69943,1531.8,1242.9,1633.1,1223.5,1393.6,1586.3,1109.3,1.18100207155636,0,0,0,26.97933451,24.15100098,26.17133331,27.0043335,26.00466665,24.38233439,25.27199809,27.09333293,26.45566559,26.10266622,25.59266663,24.94900004,163.4281843,60834.92188,63181.79688,65396.82031,66856.04688,193.6435706,201.1139057,208.1645443,212.8094067
GH201400000027,GHGE71FL,GH,2014,27,GH2014DHS,11785.16699,13398.55371,15102.26855,33.01564539,37.51335163,42.64892106,48.07201383,6658.852861,2.07E-05,0.000271511,0.000319687,4,3072.333333,2960.583333,3027.75,3142.166667,3264.083333,3235.5,3262.416667,29.48773842,9.0,0.168101589,0.263973517,0.791635464,0.667714936,0.612020356,0.635619436,0.439063958,0.000641715,1843.196185,71037.40822,84367.73942,25210.29517,1483.7,1109,1354,1314.2,1055.3,1496.6,1031.6,0.2850795818609503,0,0,0,29.48240051,25.73859863,27.09020081,29.72319946,27.76260071,26.11380005,26.98339844,30.06480103,28.38160095,27.86560059,27.21480103,26.49539795,233.1689373,10351.3125,12266.98828,14449.2002,16763.60156,32.94925104,39.04703643,45.99323271,53.36020105
GH201400000028,GHGE71FL,GH,2014,28,GH2014DHS,160604.6719,182591.4063,205809.1094,449.9271449,511.2205483,581.2064976,655.1107419,6301.620596,0.20576603,0.281042989,0.325086079,-9999,3380.5,3424.9,3567.7,3397.8,3584.6,3633.8,3590.5,43.57336957,10.0,0.071481882,0.107871823,0.497229063,0.415126979,0.21635434,0.158572063,0.167458743,5.446107193,1517.552846,19667.25511,129314.9436,48960.02643,1094.916667,872.9166667,1265.083333,819.0833333,932.9166667,1135.583333,830.8333333,0.8447517043529811,1,1,1,27.83774948,24.65750122,27.04924965,27.98075104,27.11249924,24.88024902,26.02050018,28.08650208,27.15424919,26.99124908,26.27700043,25.4355011,54.32249322,281619.1875,332606.9375,390662.75,452144.4375,896.4217152,1058.720764,1243.518155,1439.220444
